student_id,name,department,gpa,attendance_pct,assignments_completed,lms_logins_per_week,financial_hold,credits_this_term
STU00001,TestFirstName1 TestLastName1,Engineering,3.01,98.5,73.9,4.0,True,4.0
STU00002,TestFirstName2 TestLastName2,Business Administration,2.07,91.4,61.9,4.0,False,6.0
STU00003,TestFirstName3 TestLastName3,Social Work,3.33,67.2,67.5,3.0,False,18.0
STU00004,TestFirstName4 TestLastName4,Arts & Humanities,3.46,55.5,86.4,12.0,False,14.0
STU00005,TestFirstName5 TestLastName5,Social Work,1.43,33.5,75.1,2.0,False,15.0
STU00006,TestFirstName6 TestLastName6,Nursing,1.89,69.8,81.1,5.0,False,6.0
STU00007,TestFirstName7 TestLastName7,Nursing,2.89,100.0,87.1,10.0,False,4.0
STU00008,TestFirstName8 TestLastName8,Computer Science,2.58,84.5,68.3,3.0,False,7.0
STU00009,TestFirstName9 TestLastName9,Education,2.79,69.6,88.6,5.0,False,16.0
STU00010,TestFirstName10 TestLastName10,Nursing,2.2,85.0,81.8,4.0,False,11.0
STU00011,TestFirstName11 TestLastName11,Arts & Humanities,3.42,54.6,52.8,6.0,False,15.0
STU00012,TestFirstName12 TestLastName12,Social Work,3.34,73.5,100.0,6.0,True,10.0
STU00013,TestFirstName13 TestLastName13,Business Administration,2.85,79.5,66.0,0.0,False,10.0
STU00014,TestFirstName14 TestLastName14,Arts & Humanities,3.59,76.7,45.2,3.0,False,12.0
STU00015,TestFirstName15 TestLastName15,Business Administration,3.13,89.9,56.2,5.0,False,18.0
STU00016,TestFirstName16 TestLastName16,Engineering,2.2,83.2,56.6,4.0,False,9.0
STU00017,TestFirstName17 TestLastName17,Engineering,3.06,88.0,75.9,9.0,False,12.0
STU00018,TestFirstName18 TestLastName18,Arts & Humanities,2.13,67.7,70.1,4.0,False,17.0
STU00019,TestFirstName19 TestLastName19,Education,3.41,91.5,68.9,6.0,False,8.0
STU00020,TestFirstName20 TestLastName20,Arts & Humanities,2.77,100.0,86.2,5.0,False,16.0
STU00021,TestFirstName21 TestLastName21,Psychology,2.67,63.4,81.1,7.0,False,11.0
STU00022,TestFirstName22 TestLastName22,Social Work,2.32,64.7,80.7,4.0,False,17.0
STU00023,TestFirstName23 TestLastName23,Social Work,3.66,98.0,82.4,9.0,False,10.0
STU00024,TestFirstName24 TestLastName24,Social Work,2.69,75.1,86.1,3.0,False,13.0
STU00025,TestFirstName25 TestLastName25,Engineering,2.5,99.1,37.1,8.0,False,8.0
STU00026,TestFirstName26 TestLastName26,Engineering,2.55,71.4,68.4,10.0,True,13.0
STU00027,TestFirstName27 TestLastName27,Arts & Humanities,3.17,99.8,35.8,8.0,False,8.0
STU00028,TestFirstName28 TestLastName28,Social Work,3.06,80.0,75.6,4.0,False,12.0
STU00029,TestFirstName29 TestLastName29,Arts & Humanities,3.09,81.9,74.9,4.0,False,15.0
STU00030,TestFirstName30 TestLastName30,Psychology,3.1,100.0,93.8,3.0,False,9.0
